service_id,date,exception_type
308846,20250129,1
341352,20250129,1
308846,20250130,1
341352,20250130,1
340540,20250130,1
340946,20250130,1
341510,20250130,1
336010,20250130,1
65110,20250130,1
34010,20250130,1
33610,20250130,1
308152,20250130,1
340540,20250131,1
341352,20250131,1
340946,20250131,1
308152,20250131,1
341510,20250131,1
336010,20250131,1
34110,20250131,1
33610,20250131,1
308846,20250131,1
65010,20250131,1
308749,20250202,1
308055,20250202,1
33610,20250203,1
65110,20250203,1
341046,20250203,1
308746,20250203,1
308052,20250203,1
341252,20250203,1
340640,20250203,1
34010,20250203,1
336110,20250203,1
341510,20250203,1
341610,20250204,1
340946,20250204,1
308746,20250204,1
33610,20250204,1
34010,20250204,1
336010,20250204,1
308052,20250204,1
65110,20250204,1
340540,20250204,1
341352,20250204,1
366922,20250204,1
308152,20250205,1
341352,20250205,1
308846,20250205,1
340540,20250205,1
340946,20250205,1
341510,20250205,1
33710,20250205,1
34010,20250205,1
65010,20250205,1
336010,20250205,1
341510,20250206,1
34010,20250206,1
33610,20250206,1
308152,20250206,1
341352,20250206,1
308846,20250206,1
340946,20250206,1
65110,20250206,1
336010,20250206,1
340540,20250206,1
341352,20250207,1
308152,20250207,1
341510,20250207,1
336010,20250207,1
65010,20250207,1
34110,20250207,1
33610,20250207,1
340540,20250207,1
340946,20250207,1
308846,20250207,1
308749,20250209,1
308055,20250209,1
308052,20250210,1
341252,20250210,1
340640,20250210,1
65110,20250210,1
336110,20250210,1
341510,20250210,1
34010,20250210,1
33610,20250210,1
308746,20250210,1
341046,20250210,1
336010,20250211,1
366922,20250211,1
34010,20250211,1
33610,20250211,1
341352,20250211,1
308746,20250211,1
340946,20250211,1
65110,20250211,1
341610,20250211,1
340540,20250211,1
308052,20250211,1
340540,20250212,1
340946,20250212,1
341510,20250212,1
308846,20250212,1
308152,20250212,1
33710,20250212,1
34010,20250212,1
65010,20250212,1
336010,20250212,1
341352,20250212,1
308152,20250213,1
341352,20250213,1
340540,20250213,1
341510,20250213,1
336010,20250213,1
65110,20250213,1
34010,20250213,1
33610,20250213,1
308846,20250213,1
340946,20250213,1
340946,20250214,1
34110,20250214,1
33610,20250214,1
308846,20250214,1
336010,20250214,1
341510,20250214,1
340540,20250214,1
308152,20250214,1
341352,20250214,1
65010,20250214,1
308849,20250216,1
308155,20250216,1
34011,20250217,1
336111,20250217,1
10,20250217,2
341352,20250217,1
11,20250217,1
308152,20250217,1
340946,20250217,1
308846,20250217,1
366922,20250218,1
308152,20250218,1
341352,20250218,1
341610,20250218,1
336010,20250218,1
65110,20250218,1
34010,20250218,1
33610,20250218,1
308846,20250218,1
340946,20250218,1
33710,20250219,1
34010,20250219,1
65010,20250219,1
336010,20250219,1
341510,20250219,1
340946,20250219,1
341352,20250219,1
308152,20250219,1
308846,20250219,1
341352,20250220,1
340946,20250220,1
308846,20250220,1
341510,20250220,1
336010,20250220,1
65110,20250220,1
34010,20250220,1
308152,20250220,1
33610,20250220,1
340946,20250221,1
341510,20250221,1
336010,20250221,1
65010,20250221,1
34110,20250221,1
33610,20250221,1
308846,20250221,1
308152,20250221,1
341352,20250221,1
